,0,1,2,3,4,5,6,7,8
ACCT325,ACCT325,2023,Corporate Sustainability Accounting and Reporting,18 points,Semester 2,accounting,BSNS 115 (or ACCT 102 prior to 2022) and 72 points at 200-level or above,"['BSNS115', 'ACCT102']","{'Prerequisite': 'BSNS 115 (or ACCT 102 prior to 2022) and 72 points at 200-level or above', 'Schedule C': 'Commerce', 'Contact': 'muhammad.nadeem@otago.ac.nz', 'Teaching staff': 'Course Co-ordinator Dr Muhammad Nadeem', 'Teaching Arrangements': 'This paper is taught through lectures and seminars.', 'Textbooks': 'Textbooks are not required for this paper.', 'Course outline': 'View\n            the course outline for ACCT 325', 'Graduate Attributes Emphasised': ""Self-motivation.View\n            more information about Otago's graduate attributes."", 'Learning Outcomes': 'Understand and apply knowledge of social and environmental accounting and\n            sustainability reporting,Demonstrate global perspective and understanding\n            of the international guidelines and regulations related to social and environmental\n            reporting and accounting,Holistically evaluate the corporate sustainability\n            crises, complexities, challenges and critically understand the role of business and\n            accounting in sustainable development,Communicate effectively (both orally\n            and in writing) corporate sustainability reporting practices and disclosures,Critically\n            evaluate the ethical, social and environmental implications of corporate actions,Examine\n            the issues related with social and environmental audits.', 'Location': 'Dunedin', 'Teaching method': 'This paper is taught On Campus', 'Learning management system': 'Blackboard'}"
ACCT360,ACCT360,2023,Advanced Accounting Analytics,18 points,Semester 1,accounting,ACCT 260 and a further 72 200-level points,['ACCT260'],"{'Prerequisite': 'ACCT 260 and a further 72 200-level points', 'Schedule C': 'Commerce', 'Contact': 'accountancyfinance@otago.ac.nz', 'Teaching staff': 'Dr Hoa Luong', 'Paper Structure': 'Core topics areIdentify a business problem using financial and non-financial\n            information Analytics for branches of accountingVisualisation, dashboard\n            and storytelling', 'Teaching Arrangements': 'This paper is taught through lectures and computer labs.', 'Textbooks': 'No textbooks are required for this paper.', 'Graduate Attributes Emphasised': ""Critical thinking, Information literacy, Communication, Team workView\n            more information about Otago's graduate attributes."", 'Learning Outcomes': 'Students who successfully complete the paper will be able to:Demonstrate\n            enhanced capabilities to integrate and apply analytical techniques and accounting\n            knowledge to identify business problems Critically evaluate the suitability\n            of data and apply advanced techniques to prepare it for further analysisUse\n            judgment to select and apply appropriate analytical tools such as Power BI, Alteryx\n            and Tableau in contextsDemonstrate competence in identifying and applying\n            analytics techniques to analyse, determine cause, make forecasts and recommend course\n            of actionDemonstrate enhanced capabilities to incorporate financial and non-financial\n            information to draw conclusions and translate insights into concrete business actionsEfficiently\n            and effectively visualise and communicate results of data analyses to stakeholders', 'Location': 'Dunedin', 'Teaching method': 'This paper is taught On Campus', 'Learning management system': 'Blackboard'}"
ACCT399,ACCT399,2023,Special Topic,18 points,Not offered in 2023,accounting,none,[],"{'Schedule C': 'Commerce', 'Contact': 'accountancyfinance@otago.ac.nz', 'Teaching staff': 'To be advised when paper next offered.', 'Textbooks': 'No textbooks required.', 'Graduate Attributes Emphasised': ""Self-motivationView\n            more information about Otago's graduate attributes."", 'Learning Outcomes': 'To be advised when paper next offered.', 'Location': 'Dunedin', 'Teaching method': 'This paper is taught On Campus', 'Learning management system': 'None'}"
ACCT404,ACCT404,2023,Empirical and Methodological Aspects of Financial Accounting,20 points,Not offered in 2023,accounting,none,[],"{'Restriction': 'ACCT 402', 'Contact': 'accountancyfinance@otago.ac.nz', 'Teaching staff': 'To be advised when paper next offered.', 'Teaching Arrangements': 'This paper is taught through lectures.', 'Textbooks': 'Textbooks are not required for this paper.', 'Graduate Attributes Emphasised': ""Communication, Critical thinking, Research, Self-motivation, Teamwork.View\n            more information about Otago's graduate attributes."", 'Learning Outcomes': 'Students will be exposed to the scientific approach to describe natural phenomena\n            and introduce tools with which theories can be tested and observations analysed. Examples\n            of work in which shortcomings of robust science appear are part of this journey. This\n            endeavour shall be undertaken through insights into the following four areas of accounting\n            research: Abnormal accruals models; equity valuationCapital markets\n            research; value relevance of accounting numbers; dynamic vs cross-sectional modelling;\n            the OLS estimator and linear regression analysis Statistical activity cost\n            analysis; virtual firms; Monte Carlo; sampling distributions; engineering asset management.\n            Bankruptcy prediction; business performance analyses', 'Location': 'Dunedin', 'Teaching method': 'This paper is taught On Campus', 'Learning management system': 'Blackboard'}"
ACCT410,ACCT410,2023,Advanced Performance Management Accounting,20 points,Not offered in 2023,accounting,none,[],"{'Restriction': 'ACCT 408', 'Contact': 'accountancyfinance@otago.ac.nz', 'Teaching staff': 'To be advised when paper next offered.', 'Teaching Arrangements': 'This paper is taught through lectures.', 'Textbooks': 'Textbooks are not required for this paper.', 'Graduate Attributes Emphasised': ""Communication, Critical thinking, Self-motivation.View\n            more information about Otago's graduate attributes."", 'Learning Outcomes': 'To be advised when paper next offered.', 'Location': 'Dunedin', 'Teaching method': 'This paper is taught On Campus', 'Learning management system': 'Blackboard'}"
ACCT411,ACCT411,2023,Literature Review,20 points,Semester 2,accounting,none,[],"{'Eligibility': 'B/B+ average for 300-level Accounting papers is required.', 'Contact': 'accountancyfinance@otago.ac.nz', 'Teaching staff': 'Professor David Lont', 'Teaching Arrangements': 'This paper is taught through lectures.', 'Textbooks': 'Textbooks are not required for this paper.', 'Graduate Attributes Emphasised': ""Communication, Self-motivation.View\n            more information about Otago's graduate attributes."", 'Learning Outcomes': ""A key outcome of a university education is learning how to think. This course teaches\n            students how to think by presenting a structured philosophical framework for critically\n            analysing the theoretical arguments of others, as well as developing and defending\n            one's own arguments. Critical analysis skills are not only essential for a research\n            career, but are also important in a management career, a professional career (especially\n            management consulting), and even ordinary life. Indeed, the applications of a proper\n            university education are limitless. Being able to think critically equips one with\n            the means to improve the quality of one's own work, as well as the work of colleagues."", 'Location': 'Dunedin', 'Teaching method': 'This paper is taught On Campus', 'Learning management system': 'Blackboard'}"
ACCT414,ACCT414,2023,Sustainability Accounting and Reporting,20 points,Semester 2,accounting,none,[],"{'Limited to': 'MAccFin', 'Contact': 'Dr Muhammad Nadeem - muhammad.nadeem@otago.ac.nz', 'Teaching staff': 'Dr Muhammad Nadeem', 'Teaching Arrangements': 'This paper is taught through lectures.', 'Textbooks': 'Text books are not required for this paper.', 'Graduate Attributes Emphasised': ""Critical thinking, Self motivation.View\n            more information about Otago's graduate attributes."", 'Learning Outcomes': 'Students who successfully complete this paper will be able to:Provide\n            a detailed overview of social and environmental accountingProvide a detailed\n            overview of corporate sustainability reporting practicesIdentify trends in\n            corporate sustainability reporting', 'Location': 'Dunedin', 'Teaching method': 'This paper is taught On Campus', 'Learning management system': 'Blackboard'}"
ACCT480,ACCT480,2023,Dissertation or Case Study,40 points,Full Year,accounting,none,[],"{'Limited to': 'BCom(Hons)', 'Notes': 'Admission subject to approval from Head of Department.', 'Contact': 'accountancyfinance@otago.ac.nz', 'Teaching staff': 'To be advised.', 'Teaching Arrangements': 'Student teacher meetings and group meetings.', 'Textbooks': 'Textbooks are not required for this paper.', 'Course outline': 'View the handbook\n            for Accounting BCom (Hons) and PGDipCom', 'Graduate Attributes Emphasised': ""Research, Self-motivation.View\n            more information about Otago's graduate attributes."", 'Learning Outcomes': 'Students who successfully complete this paper will have:An opportunity\n            to investigate in some depth an area of current research in accountancy in which the\n            student is interested. (No more than 10,000 words.)', 'Location': 'Dunedin', 'Teaching method': 'This paper is taught On Campus', 'Learning management system': 'None'}"
ACCT499,ACCT499,2023,Special Topic,20 points,Not offered in 2023,accounting,none,[],"{'Contact': 'accountancyfinance@otago.ac.nz', 'Teaching staff': 'To be advised when paper next offered.', 'Textbooks': 'Text books are not required for this paper.', 'Graduate Attributes Emphasised': ""Self-motivation. View\n            more information about Otago's graduate attributes."", 'Learning Outcomes': 'To be advised when paper next offered.', 'Location': 'Dunedin', 'Teaching method': 'This paper is taught On Campus', 'Learning management system': 'None'}"
ACFI359,ACFI359,2023,Research Methods,18 points,Not offered in 2023,accounting,"(ACFI 201 or ACCT 233 or FINC 206) plus two of (ACCT 211, ACCT 222, FINC 202, FINC
            203) (passed with an average of B+)","['ACFI201', 'ACCT233', 'FINC206', 'ACCT211', 'ACCT222', 'FINC202']","{'Prerequisite': '(ACFI 201 or ACCT 233 or FINC 206) plus two of (ACCT 211, ACCT 222, FINC 202, FINC\n            203) (passed with an average of B+)', 'Restriction': 'ACCT 359', 'Schedule C': 'Commerce', 'Notes': 'Prerequisites must be passed with an average of at least B+ for the three papers.', 'Contact': 'ivan.diaz-rainey@otago.ac.nzhelen.roberts@otago.ac.nz', 'Teaching staff': 'Dr Ivan Diaz-Rainey and Dr\n            Helen Roberts', 'Paper Structure': 'ACFI 359 is a third-year paper for intending honours and graduate students who\n            will carry out research.The primary objective of the paper is to provide\n            students with an understanding of the research process and of research methods, particularly\n            in relation to - but not exclusive to - the disciplines of Accountancy and Finance.', 'Teaching Arrangements': 'This paper is taught through lectures.', 'Textbooks': 'Saunders, M., Lewis, P., Thornhill, A., (2012), Research Methods for Business Students,\n            Financial Times Press, Pearson, London.', 'Course outline': 'View the course\n            outline for ACFI 359', 'Graduate Attributes Emphasised': ""Critical thinking, Research, Self-motivation.View\n            more information about Otago's graduate attributes."", 'Learning Outcomes': 'Students who successfully complete this paper will:Appreciate the philosophy\n            of science and develop an analytical framework for evaluating accounting and finance\n            researchUnderstand and critically appraise relevant academic and research\n            literature in the fields of Accountancy and Finance and their sub-disciplinesDevelop\n            data acquisition and management skillsDiscuss and evaluate statistical methods\n            appropriate to research in Accountancy and FinanceDevelop written communication\n            and presentation skills', 'Location': 'Dunedin', 'Teaching method': 'This paper is taught On Campus', 'Learning management system': 'None'}"
